QUERY_ID,START_TIME,END_TIME,USER_NAME,ROLE_NAME,WAREHOUSE_NAME,WAREHOUSE_SIZE,QUERY_TYPE,DATABASE_NAME,SCHEMA_NAME,EXECUTION_STATUS,BYTES_SCANNED,ROWS_PRODUCED,TOTAL_ELAPSED_TIME,EXECUTION_TIME
Q00000001,2026-02-06 00:47:41,2026-02-06 00:53:11,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,49220589433,17463,330000,327785
Q00000002,2026-02-06 00:08:31,2026-02-06 00:13:48,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,61359569051,23610,317000,312858
Q00000003,2026-02-06 00:27:25,2026-02-06 00:29:02,airflow,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,59232382840,19208,97000,92453
Q00000004,2026-02-06 01:07:41,2026-02-06 01:12:45,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,43251204659,16540,304000,302789
Q00000005,2026-02-06 01:47:14,2026-02-06 01:52:13,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,38934228991,7494,299000,294829
Q00000006,2026-02-06 01:31:16,2026-02-06 01:35:09,airflow,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,73608706613,2115,233000,230285
Q00000007,2026-02-06 02:40:53,2026-02-06 02:44:29,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,15918476238,2753,216000,215480
Q00000008,2026-02-06 02:49:52,2026-02-06 02:51:15,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,73137318037,11772,83000,80288
Q00000009,2026-02-06 02:20:41,2026-02-06 02:26:00,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,23519922453,22834,319000,317612
Q00000010,2026-02-06 03:26:23,2026-02-06 03:30:43,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,58152887315,5853,260000,259634
Q00000011,2026-02-06 03:25:13,2026-02-06 03:30:05,airflow,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,36165341748,8467,292000,290892
Q00000012,2026-02-06 04:55:50,2026-02-06 04:59:59,airflow,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,ANALYTICS_DB,TRANSFORM,SUCCESS,41651806741,7100,249000,247513
Q00000013,2026-02-06 04:01:55,2026-02-06 04:03:10,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,46549798979,15713,75000,72962
Q00000014,2026-02-06 04:20:47,2026-02-06 04:23:32,dbt_cloud,TRANSFORMER,COMPUTE_WH,LARGE,COPY,ANALYTICS_DB,TRANSFORM,SUCCESS,38675480014,20751,165000,161710
Q00000015,2026-02-06 05:38:48,2026-02-06 05:40:48,airflow,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,RAW_DB,STAGE,SUCCESS,11525861699,15351,120000,115069
Q00000016,2026-02-06 06:21:24,2026-02-06 06:24:30,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,29405794483,22817,186000,185173
Q00000017,2026-02-06 06:29:28,2026-02-06 06:32:19,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,53122929401,2860,171000,169629
Q00000018,2026-02-06 06:13:41,2026-02-06 06:18:28,airflow,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,10391205967,19158,287000,285817
Q00000019,2026-02-06 07:04:05,2026-02-06 07:07:09,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,COPY,STAGING_DB,INGEST,SUCCESS,25629924192,3393,184000,181001
Q00000020,2026-02-06 08:15:01,2026-02-06 08:21:54,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,17556873201,15006,413000,411193
Q00000021,2026-02-06 08:55:13,2026-02-06 08:56:47,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,58460593417,10337,94000,91398
Q00000022,2026-02-06 08:16:02,2026-02-06 08:20:05,airflow,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,ANALYTICS_DB,TRANSFORM,SUCCESS,26133075649,12743,243000,239482
Q00000023,2026-02-06 09:09:07,2026-02-06 09:15:28,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,COPY,RAW_DB,STAGE,SUCCESS,8212913509,11579,381000,377184
Q00000024,2026-02-06 09:28:15,2026-02-06 09:31:31,elt_bot,ELT_ROLE,COMPUTE_WH,LARGE,MERGE,RAW_DB,STAGE,SUCCESS,23730239886,3919,196000,193147
Q00000025,2026-02-06 10:12:53,2026-02-06 10:19:15,elt_bot,TRANSFORMER,COMPUTE_WH,LARGE,MERGE,STAGING_DB,INGEST,SUCCESS,14558941051,3813,382000,377101
Q00000026,2026-02-06 10:47:31,2026-02-06 10:52:52,airflow,TRANSFORMER,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,27799505772,8545,321000,317137
Q00000027,2026-02-06 10:36:52,2026-02-06 10:42:52,airflow,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,27496246212,3601,360000,359190
Q00000028,2026-02-06 11:13:41,2026-02-06 11:18:47,dbt_cloud,ELT_ROLE,COMPUTE_WH,LARGE,INSERT,STAGING_DB,INGEST,SUCCESS,15884565888,6212,306000,304013
